code,title,description
ESV,Energy Saving,Energy conservation; increased efficiency of energy use; energy audits; heat transmission and storage; heat pumps; thermal insulation; use of waste heat.
SEA,Resources of the Sea and Fisheries,Marine science; oceanography; oceanology; exploitation of the seabed; fisheries; aquaculture.
EST,Energy Storage and Energy Transport,"The storage, transmission and conversion of energy; use of hydrogen for energy transport; cells; secondary energy vectors."
FUS,Nuclear Fusion,Tokamaks; plasma physics; electron dynamics and confinement; components and materials; instabilities and turbulence; MHD equilibrium; safeguarding techniques; electric and magnetic fields; impurities; ignition; modelling.
ECO,Economic Aspects,Economic sciences; economic analysis and theory; economic aspects of RTD.
TRA,Transport,"Road, track and rail transport; design of vehicles and systems; transportation by sea and inland waterways; air transportation; pipelines; transport infrastructure; prototypes, trial and pilot schemes. (For transportation of hazardous materials see ""Safety"")."
ELM,Electronics and Microelectronics,"Electronic circuits, components and equipment; semiconductors; magnetic and superconducting materials and devices; power systems; printed circuits and integrated circuits (ICs); microwave technology and waveguides."
OTH,Other,Other
LIF,Life Sciences,Biological sciences not included elsewhere; biochemistry; genetics; toxicology.
AGR,Agriculture,"Livestock production, crops and crop production; managerial and economic aspects of agriculture; veterinary medicine; animal husbandry; control of weeds, pests and diseases of plants; land use; forestry; agro-technology; agro-industrial research."
TEL,Telecommunications,Communication systems based on electromagnetic waves; radio and television equipment and transmissions; high-definition television (HDTV); satellite communications; integrated broadband communications (IBC); remote sensing; radar; network value-added services.
REG,Regional Development,RTD activities related to regional development and the restructuring of economic sectors.
INF,Information and Media,Information services; the media industry; library sciences.
OET,Other Energy Topics,Demand analysis and utilization strategies; energy statistics; general energy topics not included elsewhere.
MBI,Medical biotechnology,
REF,Reference Materials,"Preparation and distribution of certified reference material (CRM) samples for standardization, harmonization and comparison of analyses and measurements; technical specification of CRMs; storage and preservation of CRMs."
TEC,Other Technology,Textile technology; laser technology; membrane technology; vacuum engineering; hydraulics; particle technology; other specific technologies not included elsewhere.
EVA,Evaluation,Evaluation of Community RTD programmes; evaluation methodologies.
FFU,Fossil Fuels,"Coal and hydrocarbons; petroleum products; coke; by-products; transporting and storage of hydrocarbons; liquefaction and gasification of solid fuels; exploration; mining, processing and utilization."
IPS,Information Processing and Information Systems,Technical aspects of information systems; computer hardware and software; data processing; databases; systems design and documentation; advanced systems architecture; expert systems; artificial inteligence (AI); computer-integrated manufacturing (CIM) systems; computer-aided design (CAD) systems; computer assisted translation (CAT) systems; cognitive science.
SOC,Social Aspects,Social sciences; use of human resources; ergonomics; social implications of new technology; social effects of technology.
MET,Meteorology,Climatology; weather forecasting; weather modifications; collection and analysis of meteorological data.
ITT,Innovation and Technology Transfer,"Development of mechanisms to promote innovation and technology transfer, utilization of the results of research, property rights and patents."
LEG,Legislation and Regulations,"Formulation, evaluation or application of laws and regulations, administrative measures, codes of conduct, decisions, directives or agreements for research and development in science and technology."
SCI,Scientific Research,"General scientific and industrial research, or research not included elsewhere."
MEA,Measurement Methods,Test facilities and methods; applied metrology; biomedical analyses; environmental analyses; verification methods; recording devices; non-destructive testing; online testing.
BIO,Biotechnology,"Microbiology; cellular and molecular biology; genetic engineering; enzyme engineering; assessment of risk; applications of biotechnology in health, agriculture, food, industry and the environment."
MED,Medicine and Health,"Human health (for veterinary medicine see ""Agriculture""); the effect of specific environments; public health;industrial medicine; medical research; nutrition; dentistry; nursing; physiology; pharmaceutical products; medical technology."
PSE,Physical sciences and engineering,
SPA,Space and satellite research,
ROB,Robotics,
ETH,Research ethics,
SEC,Security,
CLC,Clean coal technologies ,
WAT,Water resources and management,
NNT,Nanotechnology and Nanosciences,
SDT,Sustainable development ,
AUT,Automation,
VAS,Veterinary and animal sciences,
BIF,Biofuels,
HFC,Hydrogen and fuel cells,
CCC,Climate change and Carbon cycle research,
IBI,Industrial biotech,
BUS,Business aspects,
PMM,Project management methodologies ,
NET,Network technologies ,
IPR,Intellectual property rights,
EMP,Employment issues ,
HCS,Healthcare delivery/services,
FPR,Funding Programmes,
ICT,Information and communication technology applications ,
ABI,Agricultural biotechnology ,
